,Total Return (%),Ann. Return (%),Ann. Volatility (%),Sharpe Ratio,Max Drawdown (%),Calmar Ratio,# Trading Days
Strategy,5915.3,60.64,31.54,1.923,-35.25,1.72,2166.0
Benchmark (1/N),2949.07,48.49,28.07,1.728,-32.4,1.497,2166.0
