tech_weight,macro_weight,risk_aversion,tilt_strength,max_weight,sharpe,excess_sharpe,ann_return,ann_vol,calmar,max_dd
0.4,0.6,1.0,0.0,0.1,1.728,0.0,0.43726854735638326,0.2806828612836214,1.5578740552831147,-0.3239783380840153
0.4,0.6,1.0,0.0,0.15,1.942,0.21399999999999997,0.4932920754444554,0.2911167069722207,1.6944821909225807,-0.3161154625505157
0.4,0.6,1.0,0.0,0.2,2.03,0.3019999999999998,0.5319781480953457,0.30529103625755327,1.7425278993339062,-0.32496790050688973
0.4,0.6,1.0,0.0,0.25,1.827,0.09899999999999998,0.5125370711462061,0.3186686689807414,1.6083698243242763,-0.3842556682185312
0.4,0.6,1.0,0.0,0.3,1.803,0.07499999999999996,0.5225636099037776,0.32879587348235345,1.589325329327236,-0.4107350331996237
0.4,0.6,1.0,0.1,0.1,1.728,0.0,0.437268547355296,0.2806828612883485,1.5578740552530044,-0.32397833808499527
0.4,0.6,1.0,0.1,0.15,1.942,0.21399999999999997,0.493317240355548,0.29106315724998133,1.69488039989843,-0.3181394705455317
0.4,0.6,1.0,0.1,0.2,1.993,0.2650000000000001,0.525819332588572,0.3058101255079708,1.7194307471511985,-0.32467669160605606
0.4,0.6,1.0,0.1,0.25,1.828,0.10000000000000009,0.51492170828468,0.3201479566085456,1.608386677645705,-0.3932357810287035
0.4,0.6,1.0,0.1,0.3,1.79,0.062000000000000055,0.5201684106756083,0.3290337292076713,1.5808969248477907,-0.412943181914936
0.4,0.6,1.0,0.2,0.1,1.728,0.0,0.4372685472694136,0.28068286128288783,1.5578740549773362,-0.32397833808622534
0.4,0.6,1.0,0.2,0.15,1.939,0.21100000000000008,0.49249247731905843,0.2909564271654636,1.6926674626746896,-0.3181394712647402
0.4,0.6,1.0,0.2,0.2,1.958,0.22999999999999998,0.5200850906266307,0.30652609255731794,1.6967074035610161,-0.3255777031785723
0.4,0.6,1.0,0.2,0.25,1.849,0.121,0.5216680383836066,0.3218114916787012,1.6210360781784747,-0.3955049339361093
0.4,0.6,1.0,0.2,0.3,1.769,0.040999999999999925,0.516262497669797,0.3293152106631783,1.5676849442518686,-0.4140279550115149
0.4,0.6,1.0,0.3,0.1,1.728,0.0,0.4372685472826296,0.28068286128741116,1.5578740549993155,-0.32397833808769916
0.4,0.6,1.0,0.3,0.15,1.955,0.2270000000000001,0.49539955697959825,0.2908477884920386,1.7032949074431725,-0.3181394713582181
0.4,0.6,1.0,0.3,0.2,1.933,0.20500000000000007,0.5154798053265615,0.3066999847552127,1.6807298042025751,-0.338352944989441
0.4,0.6,1.0,0.3,0.25,1.831,0.10299999999999998,0.5203734275697872,0.3234685514429235,1.6087295820521452,-0.39781845272225685
0.4,0.6,1.0,0.3,0.3,1.769,0.040999999999999925,0.517272904012799,0.33002940756783866,1.567353975589196,-0.41436979636981247
0.4,0.6,1.0,0.4,0.1,1.728,0.0,0.4372685476570748,0.2806828612716096,1.5578740564210698,-0.3239783380880566
0.4,0.6,1.0,0.4,0.15,1.941,0.21300000000000008,0.4941345318433963,0.29173877380477303,1.6937567996157525,-0.31813947136389364
0.4,0.6,1.0,0.4,0.2,1.937,0.20900000000000007,0.5155952269932933,0.30623779666237466,1.6836433406087163,-0.35096922951672954
0.4,0.6,1.0,0.4,0.25,1.812,0.08400000000000007,0.5176750605672826,0.3241910058939467,1.5968211676317472,-0.4047443479541809
0.4,0.6,1.0,0.4,0.3,1.759,0.030999999999999917,0.5152568745093881,0.3300344857391022,1.5612213170859583,-0.4147156136189226
0.4,0.6,1.0,0.5,0.1,1.728,0.0,0.43726854753809097,0.2806828612823074,1.5578740559377853,-0.3239783380884856
0.4,0.6,1.0,0.5,0.15,1.937,0.20900000000000007,0.49386992657981693,0.2921047838256607,1.6907286491910978,-0.3181394713686539
0.4,0.6,1.0,0.5,0.2,1.921,0.19300000000000006,0.5123829914677698,0.30619077775950376,1.673410921181365,-0.3531948777968564
0.4,0.6,1.0,0.5,0.25,1.799,0.07099999999999995,0.5151642531526388,0.3243570875332304,1.5882626677607599,-0.40848951155181584
0.4,0.6,1.0,0.5,0.3,1.741,0.013000000000000123,0.5112053634637859,0.32989622960180026,1.5495944408968663,-0.4182025469703069
0.4,0.6,2.0,0.0,0.1,1.728,0.0,0.4372685476148205,0.2806828612850867,1.5578740561957267,-0.32397833806745696
0.4,0.6,2.0,0.0,0.15,1.944,0.21599999999999997,0.49342799319572095,0.2909101726404365,1.6961524195497812,-0.311285726230217
0.4,0.6,2.0,0.0,0.2,2.031,0.30300000000000016,0.5313337177090803,0.30476473312365354,1.7434225812915827,-0.3219736763710709
