max_weight,sharpe,bench_sharpe,excess_sharpe,ann_return,ann_vol,total_return,max_drawdown
0.1,1.728,1.728,0.0,0.43726854700755535,0.28068286123943176,29.49072269180297,-32.4
0.15,1.861,1.728,0.133,0.4770826246433822,0.2904614626226136,40.90586679284089,-31.07
0.2,2.039,1.728,0.31100000000000017,0.5289854936303282,0.3023396494732659,62.45922655728028,-31.2
0.25,1.971,1.728,0.2430000000000001,0.5339343242295386,0.3139132096087665,63.21749513437699,-32.92
0.3,1.923,1.728,0.19500000000000006,0.5355531340104397,0.3210977289829027,62.857256874461946,-36.93
0.35,1.852,1.728,0.12400000000000011,0.5312462165311918,0.32776866986128234,59.41012195929505,-39.91
0.4,1.767,1.728,0.038999999999999924,0.519087228443019,0.3316329735945539,52.84278885232667,-40.09
0.5,1.602,1.728,-0.1259999999999999,0.494293441783639,0.33917939546370796,41.60044499219136,-41.61
0.75,1.551,1.728,-0.17700000000000005,0.5018268785628456,0.3531147934357867,42.629443733193106,-44.39
1.0,1.487,1.728,-0.24099999999999988,0.4980546931600542,0.36141002196273425,40.180322577824946,-47.92
