,AKBNK.IS,BIMAS.IS,EKGYO.IS,EREGL.IS,FROTO.IS,GARAN.IS,MGROS.IS,SISE.IS,THYAO.IS,TOASO.IS
2017-06-30,4.673099963531195e-09,1.2714681628555121e-08,1.8053500632513544e-09,0.1999999988364873,0.19999999863142126,4.829245721365527e-07,0.1999999993345594,0.19999999858579948,0.13144215435610668,0.06855734813792203
2017-07-31,6.719766525629027e-10,3.2288765522382795e-10,2.3270968516882674e-10,0.19999999984685757,0.19031050876976016,0.009689522189031425,0.19999999981331848,0.19999996794838185,0.19999999976562405,4.394525133403022e-10
2017-08-31,3.1493949466645206e-10,0.19999999942439187,3.838837278886562e-10,0.1999999998423583,0.19999998414432996,1.3524337087973322e-09,0.19999999958893996,6.9379325932811906e-09,0.19999999983539687,8.175393438715229e-09
2017-09-29,3.9427915018586944e-10,0.1999999984322758,1.007127713606853e-09,0.19999999941169908,0.19999999756957063,8.282786950147428e-10,2.1233519831351334e-07,0.14758358381815556,0.1999999993375608,0.05241620686585419
2017-10-31,7.383866306029842e-10,0.19999999779313762,1.2731930090997225e-09,0.19999999932420226,0.19999999926851028,1.1682598290582744e-09,0.03160672110812323,0.16839327463020587,0.19999999924377676,5.452204422987793e-09
2017-11-30,2.1003167819449896e-10,0.19999999971284593,1.8820190504569965e-10,0.19999999987201358,0.1999999999192946,5.199498902996815e-10,8.559726809252465e-08,3.4732737578967996e-09,0.19999999988045794,0.19999991062666272
2017-12-29,5.6397573890749115e-11,0.1999999999637287,2.6817474954873366e-11,0.1999999999879749,0.19999999998630957,1.872057401284148e-09,0.1999999972761344,3.445413530404551e-10,0.1999999999804544,5.055842026743506e-10
2018-01-31,2.6256933254830774e-10,0.19999999950221747,1.3084006314049386e-10,0.19999999984994624,0.19999999988214415,0.19999994544287433,4.741324606662e-08,7.372281207295282e-09,0.19999999985318148,2.906995673340303e-10
2018-02-28,9.307623493789772e-10,0.19999999971686158,1.9461419677244329e-10,0.19999999993144799,0.19999999980920688,0.055107389621093364,8.684962742617652e-10,0.14489260854241207,0.1999999998037958,5.813093932766465e-10
2018-03-30,4.0714085126671214e-10,0.19999999222617657,1.0083429760041768e-10,0.1999999999575858,0.1999999999671961,8.529839348526528e-09,1.9112483423914036e-10,0.1999999986092296,0.19999999982200203,1.8887048339343307e-10
2018-04-30,1.3289673769877431e-10,0.19999999991323772,5.076569720486751e-11,0.20000000000883328,0.20000000000168033,4.056874848705354e-10,2.5231753074023537e-10,0.19999999918229328,0.19999999994567538,1.0661256500111573e-10
2018-05-31,2.6158223296083155e-09,0.19999999963124962,6.675515466798441e-10,0.1999999998614101,0.19999999987927455,0.07590111936596042,7.839946975031933e-10,0.12409884097544507,0.19999999981867542,3.6400616174714044e-08
2018-06-29,1.3764180472178184e-09,0.19999999914314878,9.591709335051831e-10,0.19999999945253705,0.19999999946844058,3.609703260103712e-09,1.1831261569625091e-09,0.1999999803128299,0.19999999981101627,1.4683608998807984e-08
2018-07-31,7.631566489512362e-11,0.1999999995661537,5.9696819574349e-11,0.1999999999750971,0.19999999997101564,4.347738538973442e-11,4.472507403990976e-11,0.19999999985485337,0.19999999997255197,4.3611345864502885e-10
2018-08-31,5.0411883903794124e-11,0.19999999913756458,1.3566471801964688e-10,0.19999999997596413,0.19999999997251625,4.928420918414945e-11,3.112447802617773e-11,0.19999999996205153,0.20000000000487037,6.80547992606747e-10
2018-09-28,9.400668452260092e-11,0.19999999948906902,8.363301771262666e-11,0.20000000000449158,0.2000000000069,1.9374245384580025e-10,4.0017173236597034e-11,0.20000000000311857,0.1999999999831941,1.0182743034783104e-10
2018-10-31,4.26757023558238e-12,0.19999999996384682,9.39663974886811e-12,0.19999999990076053,0.19999999999876936,1.7395276413534784e-11,1.665422464184604e-11,0.19999999993949444,0.20000000000875023,1.406648551355263e-10
2018-11-30,5.938456785643218e-07,0.19999999987542003,2.1859509456590662e-10,0.14951988963196114,0.19999999984992717,0.050479516376677115,1.5072656293010414e-10,0.19999999992872622,0.1999999999741458,1.4814238435135367e-10
2018-12-31,2.945563666321052e-07,0.1999999995329147,8.961656722912141e-10,0.12091981364360938,0.19999999934031482,0.07907989185826904,7.616830506186483e-10,0.19999999910166463,0.19999999948468616,8.2432598505609e-10
2019-01-31,0.004907375557532088,0.19999999933990947,6.822526990245084e-10,0.19434838566778756,0.19999999968672919,0.000744242634755353,7.17608750321248e-10,0.19999999936962815,0.19999999529982326,1.0439734643425094e-09
2019-02-28,0.06574364085385688,0.19999999922158773,1.181207116484599e-09,0.19999999953991418,0.19999999983609584,0.09734045146070715,1.1138211422567176e-09,0.199999999707303,0.03400901340450659,0.002906893681000355
2019-03-29,0.043289689979100106,0.1999999993908137,1.0361937940560808e-09,0.19999999954170672,0.18108144546185323,0.1756288549852708,4.579354638647458e-10,0.19999999956873057,3.3620813331975924e-09,6.216314251020465e-09
2019-04-30,4.104119646261592e-10,0.1999999999701578,3.1683865805333295e-11,0.19145444672758397,0.19999999997509166,0.1704341273905548,2.1318260088175496e-11,0.19999999997809131,0.03811142514174429,3.5336201738614464e-10
2019-05-31,0.14016015963643438,0.19999999998819026,1.4747901012472585e-11,0.07620729213590066,0.19999999999445964,0.17904814689823734,1.71820667873898e-11,0.19999999998774737,0.0045843912082098055,1.0118890580624116e-08
2019-06-28,0.1699362267573893,0.19999999998873189,1.9133426748397478e-11,2.941839472303843e-08,0.19999999997808873,0.13834631745460943,7.974187509703552e-12,0.19999999999224435,0.09171742608729871,2.9613537963972957e-10
2019-07-31,0.19999999975579993,0.1999999998135568,6.741868445627782e-11,1.0127176718842626e-10,0.19999999941967087,0.19999999991690698,9.683914767098184e-11,0.16943453331122038,3.9123285570217336e-11,0.030565467478192162
2019-08-29,0.19999999976119068,0.19999999991404618,7.447508156896413e-11,7.329911141605839e-11,0.19999999930996493,0.19999999990109113,0.19999999984321928,1.3397539119680707e-10,2.3963586948599094e-11,9.647746349857725e-10
2019-09-30,0.19999999948705718,0.1999999989106042,1.1662330021137415e-09,9.129230019359213e-10,0.19999970937132416,0.19999999947788727,0.1999999990948659,9.896454678877681e-10,7.91970127292043e-10,2.89797489683701e-07
2019-10-31,0.12930116228479221,0.19999999987467088,2.5139383096161846e-11,0.0,0.07069883844565922,0.19999999959539608,0.19999999994923373,3.246476030192829e-11,2.5008077526968622e-11,0.1999999997676356
2019-11-29,0.014995941345875625,0.10846894494806866,1.9876846307165002e-11,0.09886403388927147,0.19999999989129466,0.17767107990542844,0.199999999976917,2.3366927698096334e-11,2.453230197633977e-11,0.19999999997536813
2019-12-31,0.10807654183850447,4.3430348546533883e-10,0.0,0.19999999262276819,0.1999999924389403,0.09192347979421599,0.19999999430898482,0.0,9.0525140332011e-10,0.1999999976570314
2020-01-31,5.691712322456327e-08,1.958129208200239e-10,3.629325720545371e-10,0.19999999708161076,0.19999999444469488,0.1999999521128227,0.19999999932976703,2.2602581149438624e-10,4.22895417648823e-10,0.19999999890631479
2020-02-28,4.248447082853365e-09,0.19999993663495957,2.7240779084434193e-09,0.13306283992123802,0.19999999718221573,0.06693721815888702,0.19999999905200902,2.024099753787786e-09,1.3050615290970294e-09,0.19999999874900432
2020-03-31,9.405007726015454e-10,0.19999999996119877,2.7399217605787823e-11,0.1327703550971078,0.19999999990112718,0.0672296451324394,0.19999999996315643,2.586222417163187e-11,1.9674975321269694e-11,0.1999999989315332
2020-04-30,1.8344166086777817e-09,0.19999999988568867,5.440211691573082e-10,0.19999997567238387,0.19999999946141908,2.2224070115576412e-08,0.19999999958020326,6.070725002702384e-10,3.500693251800245e-10,0.19999999984065536
2020-05-29,1.577677918558853e-10,0.19999999998433757,0.19999999987713465,0.004482167670388956,0.19551783160216585,4.1762521627932934e-10,0.19999999993843537,2.1999471887049784e-10,1.9669044500793903e-10,0.19999999993545928
2020-06-30,2.4289157265527157e-11,0.19999999999565776,0.19999999999459012,7.581447449807491e-10,0.1999999986074426,2.996712209830632e-11,0.1999999999839527,5.927128834916533e-10,3.463056712791161e-11,0.1999999999786123
2020-07-30,2.8133601673625365e-11,0.19999999994493084,0.1999999999627292,7.524345012010836e-11,0.1999999994496289,2.3512542239500933e-11,0.19999999994555098,1.2013405779514213e-09,2.013680944967177e-11,0.1999999993487931
2020-08-31,9.086724960840334e-11,0.1999999982412578,0.11858723346669624,0.12370390037279856,0.19999999947212405,7.457060243116258e-11,0.1999999998986574,0.05759238521814258,0.0,0.10011648316488554
2020-09-30,1.650918870762666e-10,0.19999999573678148,4.754305181079292e-10,0.1473813230287707,0.19999999929649642,2.1161839468500347e-10,0.19999999964769985,0.1999999985078637,9.309328145001793e-11,0.05261868283715385
2020-10-30,2.81350671168478e-10,0.1999999990036514,0.023288846825140368,0.19999999882064443,0.1999999997189421,2.976137635145154e-10,0.199999999684462,0.17550096741893784,2.2094395094221272e-10,0.0012101877283134058
2020-11-30,3.94510587536664e-11,0.19999999990129058,0.1280243251652058,0.19999999924721734,0.19999999993941103,1.0249228805359772e-12,0.19999999995312528,0.07197567451579658,1.4596630644307413e-11,1.2228807413508776e-09
2020-12-31,6.718323878716343e-11,0.1999999999614382,0.06954979982938093,0.1999999999663165,0.19999999998116863,1.434925168362584e-11,0.19999999997089452,0.12291092067903309,3.521608762585329e-11,0.00753927949501962
2021-01-29,1.497829838704239e-10,0.19999999825950218,0.046023021039656324,0.19999999868798946,0.199999999825822,1.3443190639168054e-10,0.1999999995318315,0.13224185800020624,8.470963758077342e-11,0.021735124286067713
2021-02-26,1.0199461271061212e-11,0.19999999981579838,0.09123364352706556,0.19999999998378412,0.19999999999512452,6.518928336187248e-12,0.1999999998777494,0.10586633836905225,2.1078727857243506e-12,0.002900018412599434
2021-03-31,7.213893496338905e-11,0.044894004433675964,0.11590569285493817,0.1999999999563147,0.1999999999203698,7.675097303145708e-11,0.039200298044682155,0.1999999995949254,5.07757020338571e-09,0.19999999996863363
2021-04-30,4.2286801081913156e-10,0.07722912102288595,0.12277082838488913,0.19999999956641762,0.19999999971843238,4.3278915006856593e-10,6.017690937971218e-08,0.19999999944053368,2.5154134895638253e-09,0.1999999883188613
2021-05-31,2.3186418366911614e-09,0.05284347347726517,0.14715647415777983,0.19999999927020035,0.19999999958766215,9.382140913532405e-09,2.786274313056307e-08,0.19999999938469154,1.6286505542377464e-08,0.1999999982723694
2021-06-30,2.3167697738312e-09,0.06110258356566494,4.133337192353206e-09,0.19999999953413755,0.19999999968871696,0.005163151625848105,1.5279361596489833e-09,0.199999999600653,0.1337342585221493,0.19999999948478686
2021-07-30,4.1796214036964255e-10,1.96699854775085e-09,2.4720253965094687e-10,0.19999999975534002,0.1999999999247317,0.153489593641096,2.934700399511083e-10,0.19999999925121523,0.046510404911803804,0.19999999959018008
2021-08-31,2.1190874814274837e-09,1.5894231656481266e-09,6.230637757094442e-10,0.19999999961233195,0.19999999983291689,0.19999999597520263,4.38431654708467e-10,0.1999999982607431,1.6187130780801845e-09,0.19999999993008635
2021-09-30,5.716137049725395e-10,1.056095781508706e-09,1.2237100627644502e-09,0.19999999987372635,0.19999999992598835,0.19999999302576463,4.2976500518735453e-10,4.4316009886635864e-08,0.19999996006891924,0.19999999950840694
2021-10-28,9.89570155087155e-11,5.565824721515365e-11,1.1911608407212946e-10,0.19999999997109946,0.19999999994729575,0.19999999814959135,5.813811703888664e-11,2.33725179156606e-09,0.199999999336111,0.19999999992678127
2021-11-30,1.9654341580122587e-10,1.9967066928638897e-10,2.3007219717689103e-10,0.19999999995424456,0.19999999993603731,0.0013399719526873985,1.5689449105667074e-10,0.19999999986661202,0.19866002763533447,0.19999999987190353
