,returns
2017-07-03,0.0024872554348552268
2017-07-04,0.004971939990780233
2017-07-05,-0.004032321519947188
2017-07-06,-0.0027835660298233273
2017-07-07,-0.004262352217039964
2017-07-10,0.016765810099535275
2017-07-11,0.006151663053523643
2017-07-12,0.008670425507712142
2017-07-13,0.009724420163972692
2017-07-14,0.008734829128450408
2017-07-17,0.011447077990329964
2017-07-18,-0.005200938408215707
2017-07-19,0.009051296348431687
2017-07-20,-0.0038987303314297287
2017-07-21,0.01357180844578641
2017-07-24,-0.0009298083298594554
2017-07-25,0.005071139194344222
2017-07-26,0.002667123158262211
2017-07-27,0.011005898964175361
2017-07-28,-0.008085306238468704
2017-07-31,-0.0031447363053269803
2017-08-01,-0.007410087212797616
2017-08-02,0.0040311975217669875
2017-08-03,0.0009859521611743764
2017-08-04,0.012643609346185249
2017-08-07,0.01119313683798054
2017-08-08,0.001145870302151397
2017-08-09,-0.013517931583938094
2017-08-10,-0.018144523420294576
2017-08-11,0.009167140178778135
2017-08-14,0.022614690665114855
2017-08-15,-0.01963146759324088
2017-08-16,-0.0001245513794700939
2017-08-17,-0.005564874559455298
2017-08-18,0.015054423346540283
2017-08-21,0.02185089596079878
2017-08-22,-0.0008445668211975409
2017-08-23,0.0010547648396871552
2017-08-24,-0.005963876878740726
2017-08-25,0.0003703059384235708
2017-08-28,0.006540819929986179
2017-08-29,-0.0016477455633065027
2017-08-31,0.0007028105254674533
2017-09-05,-0.0045566554522675435
2017-09-06,0.00787438732007489
2017-09-07,0.009016267776857339
2017-09-08,-0.009593692698933707
2017-09-11,0.007472943970389721
2017-09-12,-0.005517140304892821
2017-09-13,-0.015756238582847946
2017-09-14,-0.004631256691770545
2017-09-15,-0.004918556376771215
2017-09-18,-0.010141477085817556
2017-09-19,-0.015334689323345082
2017-09-20,0.0024919722807546104
2017-09-21,-0.007927525725056925
2017-09-22,0.0020697075455003784
2017-09-25,-0.021518126009082383
2017-09-26,0.006027036001381096
2017-09-27,-0.02466742676516901
2017-09-28,0.018617255492315014
2017-09-29,0.0031320189825651654
2017-10-02,0.017986698248989144
2017-10-03,0.005845559113091718
2017-10-04,0.0019559680424910417
2017-10-05,-0.003907414211179245
2017-10-06,0.0027475987504456782
2017-10-09,-0.03014504506601489
2017-10-10,0.01746303162767711
