Date,Mining/Industrial,Export-Oriented,Interest-Sensitive,Defensive/Retail
2017-07-31,0.03715155982682938,0.027806690958264532,2.115448371447026e-07,0.01596516601106165
2017-08-31,0.007027225331639051,0.03235350157854199,4.689420748183428e-10,-0.005779580058821009
2017-09-29,-0.01192218563930731,-0.028858248079294428,-3.077583555286355e-10,-0.027750874703314644
2017-10-31,0.04587443394449166,0.0772737099235564,1.0159238669445529e-11,0.008350206557182589
2017-11-30,-0.018200738710949422,0.04182576707890952,-4.855241589037582e-11,-0.011540545742558988
2017-12-29,0.032752613838218946,0.086512845986288,8.914533300124939e-11,0.01589501886084357
2018-01-31,-0.0013971990224517588,0.009240268425339287,2.664820426774484e-09,-0.017278656473364518
2018-02-28,0.029748736604000663,0.040037216548719785,-0.008950349553466535,0.0006653186111408293
2018-03-30,-0.0069727930283812,-0.0003896330106579514,-0.005358148144097133,-0.009283793132300613
2018-04-30,-0.032394965816511315,-0.03949320903439102,-8.331789790297187e-09,-0.00806676800017388
2018-05-31,0.019986233837475116,0.03067155184031816,-1.049704658907466e-11,0.001594156039940237
2018-06-29,-0.014767083409610415,-0.04809312398545646,-0.00864617936746682,-0.0033612886679312906
2018-07-31,0.05284030345599543,0.048851943911953584,-1.0576227468277625e-09,0.010855112551813536
2018-08-31,0.05889051640716334,0.015484219884302585,-6.737793789220751e-11,0.0046544086317490685
2018-09-28,-0.021776217513169348,0.03125163641383741,4.5122122308559945e-11,0.02370773348059961
2018-10-31,-0.07931244299624093,-0.07157915490661003,-4.8043921169282465e-11,-0.006284661736370067
2018-11-30,-0.01583907865038455,0.030634154302255828,3.0388030047432026e-13,0.015784672385987082
2018-12-31,0.022028774355954468,-0.01880005416335021,-0.0011382794734382184,0.005717712686457161
2019-01-31,0.05755098073284483,0.02578178721684836,0.010898291593357177,0.009496228391813941
2019-02-28,0.020554172359858524,-0.029562781789165132,-1.25989452039282e-10,-0.009508022644406111
2019-03-29,-0.035153336349661314,-0.033086177456487356,-0.013702517580376482,-0.021822399867967125
2019-04-30,0.011888149753659268,0.03254488319253047,-0.0015460378703201641,0.01758956425301877
2019-05-31,-0.036294435501827885,0.008341191455272786,-0.007064534035809941,-0.009461047538158157
2019-06-28,0.002755440569939241,0.026387636756930087,0.056899905280799155,0.0044889845458296156
2019-07-31,-0.012237102442436244,-0.004127217090480185,0.036924572216318376,0.034706590802080356
2019-08-29,-0.023625237075312236,-0.007862434742026842,-0.03612097793711297,-0.00034051145295768795
2019-09-30,4.309226727202479e-12,0.0017050485007313507,0.06505734271456834,0.03497615950446334
2019-10-31,-6.124046456723378e-12,0.019103965925706637,-0.04972715741125069,-0.010781929716805068
2019-11-29,1.2613723247723364e-11,0.01690391513379588,0.042466671499553584,0.013322268255911991
2019-12-31,0.007125784782972912,0.045909072540221536,0.028157022302767242,0.01891887726558124
2020-01-31,0.005071661471711196,0.006529056167096334,0.010749330144158173,0.0070782188732123035
2020-02-28,-0.02107527041358408,-0.001325767226340943,-0.04060151060320514,-0.021780592654473355
2020-03-31,-0.0049564536114023085,-0.11901402541512968,-0.02103037243893293,0.017549699656934255
2020-04-30,0.0030307229017427703,0.1355583118060041,0.003157237626442138,0.07914639818463706
2020-05-29,-0.0012285100489981963,-0.0024047538547595764,-1.4722997807675281e-10,0.05113758342846679
2020-06-30,6.737762986621709e-10,0.059084968797176014,0.07702701888275017,0.053353525067716054
2020-07-30,-6.0558115236013e-11,0.030496114007864773,0.020388773249637383,0.041437621165633834
2020-08-31,1.2066157469350483e-09,-0.02282400818777567,-0.042857147853373315,-0.03823043285804956
2020-09-30,3.456660211923295e-07,0.029695036620725184,-0.004545420957768122,0.01883395321609827
2020-10-30,-0.034946231784656,0.05359478452673454,-4.531471753487454e-11,-0.020040732608594035
2020-11-30,0.051250249477700585,0.004914932561608698,5.155061079735134e-09,0.03196599977342268
2020-12-31,0.07712487685984407,0.03062729332564391,-0.0027873839397202123,0.020268389640017707
2021-01-29,-0.010847741844578249,0.030240028608627057,0.004918651774878676,-0.00029835926742393434
2021-02-26,0.0006922861619449287,0.0433634185789714,-0.0006132838963819326,-0.03927894656795532
2021-03-31,0.04053370485752593,0.027767958067264783,-0.009675075371795357,-0.007172778361538075
2021-04-30,0.055859972583787054,-0.03840300701230554,-0.006746059124545878,0.0015658221685043354
2021-05-31,0.0127248425308247,-0.007657501637990578,0.014166339945987585,0.00047123436320809333
2021-06-30,-0.01563123496092453,-0.0006715599977234401,-0.008205112862136531,-1.8280208090872387e-08
2021-07-30,0.020913331487104624,0.01541790041682409,3.2631809814716747e-10,2.35899992553612e-10
2021-08-31,0.022319108820455895,0.05521814357820812,0.03191241204313656,1.364327381684238e-10
2021-09-30,-0.03863879173941433,0.04202961682296867,-0.012955473047129674,-1.1375778786990804e-10
2021-10-28,0.036516538804800804,0.06291994409337909,0.013203485631272105,9.719377428672522e-13
