trend_weight,momentum_weight,volatility_weight,sharpe,bench_sharpe,excess_sharpe,ann_return,ann_vol
0.4,0.35,0.25,1.925,1.728,0.19700000000000006,0.5267486113127151,0.31501664405729773
0.5,0.3,0.2,1.921,1.728,0.19300000000000006,0.526547792359918,0.3154690685637408
0.3,0.45,0.25,1.924,1.728,0.19599999999999995,0.5259828819990044,0.31474462962672606
0.33,0.33,0.34,1.927,1.728,0.19900000000000007,0.5261731036057761,0.31442209123103015
0.6,0.25,0.15,1.911,1.728,0.18300000000000005,0.5249611802181515,0.31573436168314206
0.2,0.6,0.2,1.917,1.728,0.18900000000000006,0.5244091465911539,0.314572538761484
0.35,0.35,0.3,1.928,1.728,0.19999999999999996,0.5266779654770009,0.3146538861740754
0.45,0.4,0.15,1.916,1.728,0.18799999999999994,0.5256814231141592,0.3155011841006348
0.55,0.3,0.15,1.913,1.728,0.18500000000000005,0.5254066916948859,0.31568000991529893
0.4,0.4,0.2,1.922,1.728,0.19399999999999995,0.5263510588322705,0.3152301913918569
