Date,AKBNK.IS,BIMAS.IS,EKGYO.IS,EREGL.IS,FROTO.IS,GARAN.IS,MGROS.IS,SISE.IS,THYAO.IS,TOASO.IS
2017-05-03,0.2681642263142786,0.16414194902766183,0.13463272639984075,0.41640841623214975,-0.02074010715561725,0.28991238499715277,0.33739772950964436,0.38395238670083376,-0.08051362341746265,-0.023356088608481818
2017-05-04,0.25707018961258177,0.17992583681491442,0.12465538410600635,0.4262618296996411,-0.0020095320681826068,0.26839225446036685,0.3245498905094215,0.3743027016801139,-0.06211228979711647,-0.021036265017746636
2017-05-05,0.2618967112794912,0.17161539100186635,0.12573555372271805,0.4144438544532417,-0.011528519029766426,0.28360356260868913,0.32609684249727683,0.3733585166588936,-0.06731981320110586,-0.007902099991304534
2017-05-08,0.25148622424673517,0.17069729779836507,-0.3562175020802394,0.43530813725618583,-0.034883741728929385,0.2719051221599188,0.32658498499672656,0.37766620023212927,-0.021993038651256458,-0.030553684229635503
2017-05-09,0.24138137483508235,0.19832527466738858,-0.3635598969340307,0.46748469884622434,-0.028615791595139217,0.2679836757864057,0.29533386803292744,0.3751490103679721,-0.05851090030216116,-0.004971313704669134
2017-05-10,0.23415234006067784,0.08529844693172431,-0.37294750136948485,0.45647149746178495,-0.02945315451836822,0.25200773707686,0.2824611240673259,0.3967178921944116,-0.03867141849005862,-0.02603696341487277
2017-05-11,0.2362501762078075,0.24537807175163312,-0.3691765128328127,0.4490743521748142,-0.032304573735326525,0.24925218652694245,0.2862399747424606,0.42232566157062057,-0.03706948333313559,-0.05996985307300351
2017-05-12,0.22806038379823876,0.2643550903159557,-0.3593696897435201,0.43137114787066333,-0.1892699038164864,0.24586034356590394,0.2933994512301859,0.427334413701079,-0.039582701120698005,-0.06215853580132208
2017-05-15,0.22350597832891703,0.2769774262853966,-0.35725158617957675,0.4088478375027876,-0.18993311972110155,0.24647478502255135,0.28282282250838503,0.44200386318094087,-0.029574041866108014,-0.0638739650621919
2017-05-16,0.22933114003946817,0.24358811294092086,-0.3647575260046584,0.4129317613652195,-0.18558057640336015,0.2457627200965928,0.29640196613060255,0.43020774209908585,-0.01049572655260883,-0.057389613711262166
2017-05-17,0.23905294534477492,0.22519986204570508,-0.3618307777856974,0.4181239027152373,-0.20639817293625556,0.2525838602617593,0.3032028453420673,0.4384848809582311,-0.00028980222904589903,-0.06812954371677615
2017-05-18,0.23130333477712614,0.23826533327882676,-0.3588574759894977,0.43032441120773235,-0.22285129051106028,0.24846107346769328,0.29176007145038235,0.44514338546325977,-0.0026877918884452567,-0.06086105125601726
2017-05-22,0.23050918688677421,0.2321236825949185,-0.35895831646446674,0.4437508393014006,-0.21142191152516196,0.25015565923157,0.3003106803976944,0.42305941010692166,-0.005708844333167928,-0.06382038619648261
2017-05-23,0.23523526273733994,0.23274755592567553,-0.35517119899540783,0.42608932282881695,-0.21028411533211414,0.2483600587798662,0.3041381574044411,0.4136597706226397,0.01593078049949942,-0.07070559447075675
2017-05-24,0.2539453682300318,0.20227833786361155,-0.35059697312369587,0.40916843043881884,-0.2102697956977671,0.2661448937611214,0.31275185687990886,0.4299449379086584,0.021057054717055712,-0.09442411097774339
2017-05-25,0.2616647821577225,0.21795972107467376,-0.344270005413433,0.40129585412693536,-0.2330756236883083,0.2694729744626735,0.29209839807176996,0.43334554346541715,0.04519906353550723,-0.10369070779295803
2017-05-26,0.24655718987807343,0.228498236481313,-0.34372967751342753,0.4012004022679786,-0.23090098991964067,0.2628564046534896,0.2946199712667185,0.43143123864044874,0.0433555969004798,-0.09388837265543354
2017-05-29,0.2105976098127577,0.107768854872614,-0.37799054263986787,0.19644068418876248,0.045615909783771946,0.22384036342155844,0.17184726031704073,0.23053950046354083,0.33172792391610717,0.1796124358637145
2017-05-30,0.20082139946951355,0.0977958029890657,-0.3747246229298429,0.1913038003666101,0.05483933418937856,0.21260245940879535,0.1875836722403752,0.22922004337425034,0.3274897816993548,0.19306832919249933
2017-05-31,0.27426092769670757,0.33754314903225613,-0.30185457784609265,0.31277084265364535,0.15287346316466333,0.2859662766184418,0.4317761856333662,0.3528405389053567,0.3924955863237552,0.28132760781790045
2017-06-01,0.2738744390817917,0.3546363840846087,-0.2991214826648952,0.29711822828989426,0.16227491852368534,0.2795250309686668,0.4375599574636767,0.3446095940839983,0.3826400285936436,0.2868829015749297
2017-06-02,0.2677729252936867,0.362778099554006,-0.3053477590302292,0.3108640970687049,0.1680098658013128,0.27829009040587566,0.42158650115493496,0.3569889155000124,0.3793767371503229,0.27968052710137314
2017-06-05,0.2682334343454052,0.3546568348490006,-0.2905899519126426,0.3225887627864,0.14544996343717195,0.2826948114687822,0.41848298557583574,0.34196534312347543,0.410943699067533,0.2655741172590385
2017-06-06,0.2777464147946573,0.3109907872062861,-0.295827881935454,0.3263384108309501,0.15589992416194431,0.2869177878471573,0.39718223007953196,0.364268824175842,0.42944771265141995,0.26703579018766493
2017-06-07,0.3232548125773903,0.403184285991903,-0.26365559376699244,0.5274052674851979,-0.09460009413864046,0.33454217857908675,0.508776661983136,0.5621806992324627,0.14634096555645915,-0.007429183500002767
2017-06-08,0.2826389389797441,0.2996172433702533,-0.3039100412417699,0.32019540789840156,0.1722158437539579,0.29013754189222246,0.39865542443895785,0.35043215810346356,0.430400597195013,0.27961688560975617
2017-06-09,0.283513450328111,0.31540548017254877,-0.305632548691879,0.32836308131818065,0.16664816655241307,0.27990012092442174,0.38822126161285064,0.3524788919949256,0.432566739962818,0.2785353558256095
