,AKBNK.IS,BIMAS.IS,EKGYO.IS,EREGL.IS,FROTO.IS,GARAN.IS,MGROS.IS,SISE.IS,THYAO.IS,TOASO.IS
2017-06-30,1.1310047833206867e-09,4.03747537956895e-09,4.78256327119831e-10,0.24999999979949816,0.17843016493345518,5.822043443871837e-09,0.24999999988707902,0.24999999916167945,0.07156981867166445,6.0778439143823595e-09
2017-07-31,1.170174705315285e-09,1.136184549526522e-09,8.258680925930942e-10,0.25000000009894363,0.1352239796675856,7.884556072191103e-09,0.25000000048722354,0.11477600743311449,0.2499999991287945,2.1675549048745414e-09
2017-08-31,2.7830545792454696e-10,0.24999999427230984,5.74330092067732e-10,0.24999999981340085,2.2806512571076735e-09,8.229690792841641e-10,0.24999999814850202,4.109234408747924e-09,0.24999999850568447,1.1946124839291101e-09
2017-09-29,2.8167838595378985e-10,0.24999999549028493,6.005415320506808e-10,0.24999999965039185,0.2499999124092347,3.1410313923370697e-10,2.2529389844403104e-09,8.470842090876263e-08,0.2499999990354159,5.256989692601283e-09
2017-10-31,1.9885309469724954e-10,0.2499999812305035,1.9324163908313966e-10,0.24999999980397278,0.2499999998326416,2.0154861667458597e-10,1.663649683845801e-09,1.4087037145963979e-08,0.24999999982412877,2.964423216010836e-09
2017-11-30,1.5280330971114386e-11,0.2104448596077601,1.5724017800666835e-11,0.24999999997364122,0.24999999999105002,2.7162511034068624e-11,5.444995512752376e-11,6.35046027903776e-11,0.24999999999150363,0.03955514025992367
2017-12-29,3.6387518443942683e-10,0.2499999944771662,3.7425611098199294e-10,0.24999999976366735,0.24999999831189776,1.9677075931540743e-09,2.3009664412596435e-09,1.660842546852565e-09,0.24999999983087628,9.487444800505571e-10
2018-01-31,2.138721694992731e-11,0.20891720631824767,1.3423407434470821e-11,0.24999999997475814,0.24999999997638328,0.04108279354768102,3.677914309742384e-11,9.668765796748844e-11,0.24999999998891817,2.5734352000972005e-11
2018-02-28,2.312945786229635e-10,0.2499999975079425,7.083057110576072e-11,0.24999999996627378,0.24999999981987536,1.0701179553045786e-09,1.379218644937777e-10,1.115730131338177e-09,0.2499999999415153,1.3849796014434022e-10
2018-03-30,1.9856101885233e-09,0.06450195650528276,5.455984078729257e-10,0.24999999905333856,0.24999999964628788,7.091129366786706e-09,1.0576517727238429e-09,0.1854980333196768,0.24999999966964628,1.125777953515943e-09
2018-04-30,9.818343627372075e-10,0.24999989241803736,6.632479475651055e-10,0.2499999995927458,0.24999999916409946,1.6247149614131686e-09,1.220858143046029e-09,1.0412195703690169e-07,0.24999999933795608,8.745489226945378e-10
