tech_weight,macro_weight,sharpe,bench_sharpe,excess_sharpe,ann_return,ann_vol,total_return
0.8,0.2,1.896,1.728,0.16799999999999993,0.5198933442665746,0.3143212487484792,55.8585909695359
0.7,0.3,1.917,1.728,0.18900000000000006,0.5254476997619482,0.3152417198709855,58.48683012322824
0.6,0.4,1.923,1.728,0.19500000000000006,0.5267957041437675,0.31540500919134234,59.15304847013902
0.5,0.5,1.925,1.728,0.19700000000000006,0.5267486113127151,0.31501664405729773,59.19200933289871
0.4,0.6,1.912,1.728,0.18399999999999994,0.5232173985598962,0.3144854971766461,57.48003047416731
0.3,0.7,1.891,1.728,0.16300000000000003,0.5178664835522908,0.3136511393394065,54.98250979020122
